                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     83,               0.033385,               0.014264,                 0.0327,              0.0014774,                0.84734,                0.81326,                0.89012,                0.72042,                0.84734,                0.81326,                0.89012,                0.66244,                0.02751,               0.012421,               0.015266,              0.0021793,                0.00631,                0.00631,                0.00631
                     84,               0.032296,               0.015667,                0.03506,              0.0014674,                0.99198,                0.72367,                0.86052,                0.64234,                0.99198,                0.72367,                0.86052,                0.64562,               0.030296,               0.012632,               0.016048,              0.0021628,               0.006265,               0.006265,               0.006265
                     85,                0.03345,               0.013956,               0.031333,              0.0015616,                0.98376,                0.74057,                0.87656,                  0.647,                0.98376,                0.74057,                0.87656,                0.61778,               0.026693,               0.012341,               0.015768,              0.0021477,                0.00622,                0.00622,                0.00622
                     86,               0.031386,               0.013361,               0.030028,              0.0014365,                0.86719,                0.78669,                0.88794,                0.73189,                0.86719,                0.78669,                0.88794,                0.69443,               0.025081,               0.012336,               0.015228,              0.0021536,               0.006175,               0.006175,               0.006175
                     87,               0.030735,               0.014577,               0.030481,              0.0014789,                0.77723,                 0.8239,                  0.894,                0.72888,                0.77723,                 0.8239,                  0.894,                0.67588,                0.02548,               0.012464,               0.015015,               0.002129,                0.00613,                0.00613,                0.00613
                     88,               0.030397,               0.013263,                0.02935,              0.0013912,                0.80968,                 0.8239,                0.87242,                0.67776,                0.80968,                 0.8239,                0.87242,                0.64526,               0.025751,               0.012456,                  0.015,              0.0021049,               0.006085,               0.006085,               0.006085
                     89,               0.026064,               0.013201,               0.028345,              0.0013003,                0.77303,                0.74057,                0.81908,                0.67395,                0.77303,                0.74057,                0.81908,                 0.6058,               0.030807,               0.012533,                0.01637,              0.0020165,                0.00604,                0.00604,                0.00604
                     90,               0.035044,               0.013761,               0.032974,              0.0013842,                0.68935,                 0.8239,                0.78153,                0.62479,                0.68935,                 0.8239,                0.78153,                0.59709,               0.025808,               0.012381,               0.015323,              0.0019689,               0.005995,               0.005995,               0.005995
                     91,               0.028922,               0.013814,               0.032491,              0.0013501,                0.97719,                0.72688,                0.84339,                0.67338,                0.97719,                0.72688,                0.84339,                0.61127,               0.025611,               0.012255,               0.014866,              0.0019803,                0.00595,                0.00595,                0.00595
                     92,                0.03055,               0.015891,               0.032389,              0.0014643,                0.82811,                0.87242,                0.87349,                0.65988,                0.82811,                0.87242,                0.87349,                0.64334,               0.023642,               0.012315,               0.014911,              0.0019902,               0.005905,               0.005905,               0.005905
