                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     80,               0.041438,               0.019113,               0.036289,              0.0020356,                0.50817,                0.83363,                0.74748,                0.56517,                0.50817,                0.83363,                0.74748,                 0.5331,               0.036026,               0.013944,               0.018104,              0.0019204,                0.00763,                0.00763,                0.00763
                     81,               0.040781,               0.017773,               0.034278,              0.0018939,                0.54522,                0.90723,                  0.741,                0.54402,                0.54522,                0.90723,                  0.741,                0.52232,               0.033958,               0.014089,               0.017997,              0.0018763,                 0.0076,                 0.0076,                 0.0076
                     82,               0.041284,               0.018632,               0.036274,              0.0019337,                0.61958,                0.99057,                0.86192,                0.67084,                0.61958,                0.99057,                0.86192,                  0.594,               0.037755,               0.014022,               0.017947,              0.0019715,                0.00757,                0.00757,                0.00757
                     83,               0.045886,                0.01594,               0.031838,              0.0020854,                0.66613,                0.96843,                0.81602,                0.57798,                0.66613,                0.96843,                0.81602,                0.60294,               0.031221,               0.013858,               0.017361,              0.0020211,                0.00754,                0.00754,                0.00754
                     84,               0.042548,               0.016915,               0.036878,              0.0018311,                0.60753,                0.90723,                0.82208,                0.54742,                0.60084,                 0.8978,                 0.8127,                0.51785,                0.04444,               0.014402,               0.018514,              0.0019879,                0.00751,                0.00751,                0.00751
                     85,               0.043056,               0.018692,               0.038048,              0.0019631,                0.53323,                0.91802,                 0.7514,                0.51249,                0.53323,                0.91802,                0.75448,                0.53685,               0.032956,               0.013602,               0.017074,              0.0020903,                0.00748,                0.00748,                0.00748
                     86,               0.040627,               0.015149,               0.030571,              0.0020297,                0.47799,                0.90723,                0.71286,                0.54521,                0.47799,                0.90723,                0.71382,                0.50806,               0.043179,               0.013597,               0.018218,              0.0020282,                0.00745,                0.00745,                0.00745
                     87,               0.041045,               0.014908,               0.032271,              0.0019216,                0.43765,                 0.8239,                0.64193,                0.52767,                0.43765,                 0.8239,                0.64193,                0.48027,               0.032388,               0.013781,               0.017186,              0.0021113,                0.00742,                0.00742,                0.00742
                     88,               0.037798,               0.015617,               0.035191,              0.0018617,                0.46846,                 0.8239,                0.70463,                0.41834,                0.46846,                 0.8239,                0.70463,                0.42026,               0.036657,               0.013591,               0.017717,              0.0020497,                0.00739,                0.00739,                0.00739
                     89,               0.042827,               0.018007,               0.035048,              0.0021977,                0.60317,                0.65723,                 0.6654,                0.42902,                0.60317,                0.65723,                0.65831,                0.44454,               0.033324,               0.013948,               0.017498,              0.0020623,                0.00736,                0.00736,                0.00736
                     90,               0.040798,               0.018543,               0.039353,              0.0020503,                0.60317,                0.65723,                 0.6654,                0.42902,                0.60317,                0.65723,                0.65831,                0.44454,               0.033324,               0.013948,               0.017498,              0.0020623,                0.00733,                0.00733,                0.00733
                     91,               0.040937,               0.014636,                 0.0316,              0.0019421,                 0.5452,                0.76056,                0.64738,                0.37155,                 0.5452,                0.76056,                0.63656,                0.43227,               0.038097,               0.014028,               0.018249,              0.0020351,                 0.0073,                 0.0073,                 0.0073
                     92,                 0.0406,               0.019446,               0.037773,              0.0022684,                0.51126,                0.65723,                0.67642,                0.44529,                0.51126,                0.65723,                0.66433,                0.47965,               0.033104,               0.013821,               0.017579,              0.0020682,                0.00727,                0.00727,                0.00727
                     93,               0.033105,               0.016751,               0.028149,              0.0019557,                0.55187,                0.74057,                 0.6504,                0.48246,                0.55187,                0.74057,                0.63898,                0.45131,               0.027936,                0.01374,               0.016878,              0.0020347,                0.00724,                0.00724,                0.00724
                     94,               0.033147,               0.016558,               0.031917,              0.0021184,                0.65905,                0.74057,                0.70862,                0.51729,                0.65905,                0.74057,                0.70862,                0.47253,               0.028871,               0.013939,                0.01715,              0.0020072,                0.00721,                0.00721,                0.00721
                     95,                 0.0372,               0.020469,               0.040012,              0.0018211,                0.53872,                0.73772,                0.66658,                0.42139,                0.53872,                0.73772,                0.66658,                0.42831,               0.033368,               0.014154,               0.017915,              0.0018601,                0.00718,                0.00718,                0.00718
                     96,                0.03894,               0.018282,               0.039082,              0.0018016,                 0.7161,                0.84308,                0.80636,                0.52165,                 0.7161,                0.84308,                0.80636,                0.51691,               0.036308,               0.013796,               0.018169,              0.0018487,                0.00715,                0.00715,                0.00715
                     97,               0.038685,               0.016472,               0.035339,              0.0017182,                0.67882,                0.90723,                0.80082,                0.54262,                0.67882,                0.90723,                0.80082,                0.54734,               0.029215,               0.014127,               0.017482,              0.0018822,                0.00712,                0.00712,                0.00712
                     98,               0.041541,               0.018289,                0.03624,              0.0020102,                 0.7093,                0.90723,                0.79937,                0.56538,                 0.7093,                0.90723,                0.79937,                0.52599,               0.032136,               0.014291,               0.017833,              0.0017988,                0.00709,                0.00709,                0.00709
                     99,               0.038738,               0.016093,               0.034385,              0.0019012,                0.65932,                 0.8239,                0.70106,                0.47584,                0.65932,                 0.8239,                0.70106,                0.47946,                0.03066,               0.013714,               0.016651,              0.0016582,                0.00706,                0.00706,                0.00706
                    100,               0.038198,               0.017472,               0.033496,              0.0018444,                 0.9791,                0.49057,                0.55288,                0.38786,                0.96726,                0.48113,                0.54052,                0.38153,               0.030873,               0.014081,               0.017671,              0.0017862,                0.00703,                0.00703,                0.00703
                    101,               0.038315,               0.015563,               0.034407,              0.0017137,                0.91568,                0.46508,                0.50939,                0.32763,                0.91568,                0.46508,                0.50939,                0.32146,               0.037108,               0.014044,               0.018137,               0.001815,                  0.007,                  0.007,                  0.007
                    102,               0.038676,               0.015355,               0.034029,              0.0017597,                0.98915,                0.49057,                0.53523,                 0.3942,                0.98915,                0.49057,                0.53523,                0.37729,               0.028853,               0.013985,               0.017241,              0.0018252,                0.00697,                0.00697,                0.00697
                    103,               0.037299,               0.015726,               0.031623,              0.0019946,                0.95602,                0.49057,                0.55091,                0.39825,                0.95602,                0.49057,                0.55091,                0.36845,               0.035727,               0.014196,               0.018601,              0.0017135,                0.00694,                0.00694,                0.00694
                    104,               0.039059,               0.015502,               0.032007,              0.0017479,                0.98132,                0.48616,                0.58723,                0.37684,                0.98132,                0.48616,                0.58723,                0.40741,               0.037932,               0.013859,               0.018313,              0.0017238,                0.00691,                0.00691,                0.00691
                    105,               0.040689,               0.016366,                0.03327,              0.0017998,                0.62826,                0.64138,                0.61016,                0.45722,                0.62826,                0.64138,                0.61016,                0.42335,               0.027109,               0.014224,               0.017618,              0.0017347,                0.00688,                0.00688,                0.00688
                    106,               0.035185,               0.015459,               0.032817,              0.0017736,                0.62826,                0.64138,                0.61016,                0.45722,                0.62826,                0.64138,                0.61016,                0.42335,               0.027109,               0.014224,               0.017618,              0.0017347,                0.00685,                0.00685,                0.00685
